country_cd,timezone,robotid
TW,Asia/Taipei,GQMQWKAZHCMY9Z99
IL,Asia/Jerusalem,IGCRMVVLHFNK2NA4
DE,Europe/Berlin,QG6YF3BJP3SLFQ4V
IL,Asia/Jerusalem,0DEYKGUJA985PODD
IL,Asia/Jerusalem,XYP7MXFKM3LLAIBC
IL,Asia/Jerusalem,ZA37F9A8OJEI5C7S
IL,Asia/Jerusalem,0JR28JMQCFP3M8M8
CZ,Europe/Prague,M922247LJ31HC04B
AU,Australia/Melbourne,92K404KTAZ37XPOR
IL,Asia/Jerusalem,M9GD5A6QO6IRCSGQ
IL,Asia/Jerusalem,00SW0V6BRO0712MA
IL,Asia/Jerusalem,K2XMWFAMVX8AKQO7
IL,Asia/Jerusalem,7OUC8MA99SM9IKJ0
IL,Asia/Jerusalem,AFOJX60YV4ZAXEA1
CN,Asia/Shanghai,MIFG5QFPFI34FI5F
IL,Asia/Jerusalem,310YPRA4ZUB0G4IK
FR,Europe/Paris,QG2L857SI6DQ2CAB
US,America/New_York,XJDM9NQVTTP467O9
NL,Europe/Amsterdam,V2JMCFLAB45212PH
IT,Europe/Rome,UZ4N8HJYI30XNAFY
IL,Asia/Jerusalem,BEGF2QPBTCRPPL6O
IL,Asia/Jerusalem,L6JHEY28KO6V8N94
IL,Asia/Jerusalem,OL2KKTH05BXGABHS
IL,Asia/Jerusalem,GGF4T3SRZMY1T496
RU,Europe/Volgograd,YTBV8UD23MRVPTK5
IL,Asia/Jerusalem,R3FHG4E3JU37IBAI
IL,Asia/Jerusalem,89EUKRC1O24MJ6ES
JP,Asia/Tokyo,BLKIMZODX8DZ4NDQ
AT,Europe/Vienna,G36RFL1XQJOVWC2Y
IL,Asia/Jerusalem,C64L31OKCTXH91X1
IL,Asia/Jerusalem,1DBYVCO75LJZXYB6
IL,Asia/Jerusalem,V3ZWR0M8BZCG1EP1
IL,Asia/Jerusalem,BFLAUK7QTK5MY2FU
IL,Asia/Jerusalem,LMUYI337VTUHOB18
IL,Asia/Jerusalem,EP27ZCOD97O17YKZ
IL,Asia/Jerusalem,1V37Q4RTNIRM58EA
DK,Europe/Copenhagen,0DVKIDOCXAX9BS8X
IL,Asia/Jerusalem,FP9ID3L8L93HLMKH
IL,Asia/Jerusalem,0KS7SKFJYQJBBHAY
IL,Asia/Jerusalem,D5ZDXTCA5NH9XXM6
IL,Asia/Jerusalem,H8JXDN05YGO0WOS0
NO,Europe/Oslo,3OYPZIJW3464CD2Y
IL,Asia/Jerusalem,9H5BKG3YD0CV4LIK
IL,Asia/Jerusalem,D6KDLMOYX4PJFVNO
FR,Europe/Paris,UYG1TZWBSY0RMRRI
IL,Asia/Jerusalem,T2BSRC9GNGZEJP5L
DE,Europe/Berlin,1SR63M4CETB46OQD
RU,Europe/Moscow,OHNO2RKCNHPZR1V6
IL,Asia/Jerusalem,DCEWOCFMAR915YE0
RU,Europe/Moscow,2MPV9IYQKOUNRNMK
US,America/New_York,SLTD2BFLFNUW4NJN
IL,Asia/Jerusalem,UV0GCKJ2RIJDMTT9
IL,Asia/Jerusalem,BBC7DV6GC2S7SXG0
AT,Europe/Vienna,MRBONCYSY1OEUF32
IL,Asia/Jerusalem,NTOTIFCTNKIHTTQ7
CN,Asia/Shanghai,F53SNSUTAMO3ZP1Y
IL,Asia/Jerusalem,167GKG3T7KJENR7L
IL,Asia/Jerusalem,OB63UVU3TUU058V3
US,America/New_York,PLG1VFXAPPIHKTKY
FR,Europe/Paris,FXBVRWE8X0RV0F3A
SE,Europe/Stockholm,68HANOEIZF7X7ISJ
IL,Asia/Jerusalem,ER4QRU4CYO3HNKQV
CA,America/Vancouver,IFTVB1D5VCL9VM20
PL,Europe/Warsaw,YEPK0Q2R8E9Z4E1T
IT,Europe/Rome,S0LPUV1MIKA3A8P2
DE,Europe/Berlin,NGIHQG4X7Q2Y6XAR
IL,Asia/Jerusalem,T7O5FTN14I2S7UF1
CA,America/Toronto,DEVR3C4324WN3246
IL,Asia/Jerusalem,4241XWMAZP0G2243
IL,Asia/Jerusalem,3SHUCGRRUWS4S6RQ
IL,Asia/Jerusalem,0VPS9G782YN7XKAJ
IL,Asia/Jerusalem,LECVK3DJ3G8GO13V
IL,Asia/Jerusalem,WMBXCJDNQ28OAX6R
IL,Asia/Jerusalem,04EBSRJ5892FNK23
ES,Europe/Madrid,J4A61XOED210B708
NL,Europe/Amsterdam,UNK7FIXI4XW6N38R
JP,Asia/Tokyo,KL31TMWF4EU1P0K9
FR,Europe/Paris,VBA1H1QU1YHYETWL
IL,Asia/Jerusalem,2IZYFFJDSX9EPXO6
IL,Asia/Jerusalem,56MU24A1BZC6Q6N2
IL,Asia/Jerusalem,RT0CKYYMGOH101PZ
NZ,Pacific/Auckland,M4FG3G6U83P0V1W8
IL,Asia/Jerusalem,YQJR1A9B3V7H5YBX
IL,Asia/Jerusalem,2QXOEW1TF0X58U75
IL,Asia/Jerusalem,41C1MWBSL8KJ2XL1
IL,Asia/Jerusalem,DKRKUAK6RMYVK3KS
JP,Asia/Tokyo,D580SGA2I7E26DV5
FI,Europe/Helsinki,HZSFIBQITY46TRZA
IL,Asia/Jerusalem,GD7AFXU67CNVXY23
CA,America/Toronto,XOIGJJ1Y0ONK6UOP
AT,Europe/Vienna,9H47FHGJ65E27LKK
ES,Europe/Madrid,MYW4CD9FDDRFCIOS
CA,America/Toronto,CCB7U4N0DFZKF8WP
FR,Europe/Paris,O4X55KQMCKS18O37
IL,Asia/Jerusalem,AO6XIHU88IT6W2QE
IL,Asia/Jerusalem,W29F9E0DHHNSDTYH
IL,Asia/Jerusalem,76GS50TX57VD7L3O
PL,Europe/Warsaw,P4POBW1ZEDD3G6UC
IL,Asia/Jerusalem,DM6Y9HUL2D4TC1IY
CN,Asia/Shanghai,XR6ZT9CQH9IO8QML
IL,Asia/Jerusalem,JHA3Y5YEZKLYALJQ
CH,Europe/Zurich,2V7W4DBVSB7DUV0S
NO,Europe/Oslo,8FCJUW5LXWB8O0QK
IL,Asia/Jerusalem,XALC6SEIBGKUHSLY
IL,Asia/Jerusalem,3W2SQDJDK68WHJN1
IL,Asia/Jerusalem,V1L99CKZHM02MK0F
CN,Asia/Shanghai,Y1KS1Z1B518KFKJ0
IL,Asia/Jerusalem,2IOVDXATAIGRI8HW
IL,Asia/Jerusalem,S5ZRGQUO4RFGVYQP
IL,Asia/Jerusalem,1FL0I0ZH5H3VRC37
CN,Asia/Shanghai,GW0F95TRNKZ4MQSF
DK,Europe/Copenhagen,3CT7TKFLBJUZSM9J
IL,Asia/Jerusalem,3X7HUZ52IGEXD3L5
IL,Asia/Jerusalem,5IYQ53N1DAIJNX3F
CA,America/Toronto,WM0MESF2YC5Y1ZGW
IL,Asia/Jerusalem,EQMEDZ1PS84BXYH5
IL,Asia/Jerusalem,CLFU0WKQ7F2BG07S
IL,Asia/Jerusalem,8KP2VPYQOQRKZHKN
CN,Asia/Shanghai,0Y5XPY4OEMA57NKL
IL,Asia/Jerusalem,5Z6YGXY9QR63X687
IL,Asia/Jerusalem,UHORDQFO1O7Q2UYJ
IL,Asia/Jerusalem,7EF4QQXK2CEBR0TE
IL,Asia/Jerusalem,E40O85UX2O6DSQA7
IL,Asia/Jerusalem,FLILHI9BB1DRDSWT
IL,Asia/Jerusalem,51PULUWXIPFHSQE0
IL,Asia/Jerusalem,HOUBOG10RDWQVRYX
IL,Asia/Jerusalem,RR7PZXC09ZQIGNUZ
IL,Asia/Jerusalem,6I8VD1XHYK4JHCI3
FR,Europe/Paris,7PXGYDUOAH5R7YVX
IL,Asia/Jerusalem,BAQM8LXEV2242IRG
IL,Asia/Jerusalem,YSLEY3PZIWNRHHUI
CA,America/Toronto,EBAFJCUWHSJKCQF5
NZ,Pacific/Auckland,4NIQ1HD1CCQFQ3GW
IL,Asia/Jerusalem,SNW19FS52E6A5SCJ
IL,Asia/Jerusalem,9GX5WT7TL1EEJY09
FR,Europe/Paris,CU8JSIJERL7ES4X3
IL,Asia/Jerusalem,7D9ISTCHEW5OOMSL
IL,Asia/Jerusalem,L7ETGJWQ86W2Z662
IL,Asia/Jerusalem,MSQNW0FUIC9MW9IF
FR,Europe/Paris,7HEPI8IQKH9SI1O7
RU,Europe/Moscow,D0J7QTGVPY7BX0O5
IL,Asia/Jerusalem,GJIGMT8UJ3TC8OBH
IL,Asia/Jerusalem,I3QJ8TFZNVSNFGET
FR,Europe/Paris,61JU94TP3AZ3FPED
IL,Asia/Jerusalem,S6GWCDDF7T0WDXNM
CA,America/Edmonton,GHMIU0J1294LCEQ1
IL,Asia/Jerusalem,7HCJPQFGWUMR8AT2
CN,Asia/Shanghai,CP11JKO5QSW94ZYE
CA,America/Vancouver,5B2KDALBUUUBJITZ
IL,Asia/Jerusalem,5P76CSJVNOJT4H9F
CN,Asia/Shanghai,NCB0KKT4TVGB6ITB
CZ,Europe/Prague,VQKB7VP3EDF9OGTL
IL,Asia/Jerusalem,6DPE14F5SNKYY2XA
NO,Europe/Oslo,I5NCI18ZXVC4C4JE
IL,Asia/Jerusalem,4DHO3QWM7Q5H7ZOG
IL,Asia/Jerusalem,U7KG8TJ4XSH9HKWR
IL,Asia/Jerusalem,2FA4WBUXWPUCVDTX
DK,Europe/Copenhagen,8O65IXRVXKYVBGQJ
PL,Europe/Warsaw,7N5J2YZF5OF00X11
IL,Asia/Jerusalem,WVQQSFJ7DYAI2L9E
IL,Asia/Jerusalem,40HVLEXWR1F2C36K
MX,America/Mexico_City,47ZNN7WEKX2A36PM
CA,America/Toronto,UHC0NK3P7T9GZNVV
IL,Asia/Jerusalem,REO1BE6COCSPP5F3
IL,Asia/Jerusalem,GF0XTSQPUJOYWJ4G
IL,Asia/Jerusalem,SDMIMPP357L9L7N5
IL,Asia/Jerusalem,QZE8F7C6AIM68IE5
FR,Europe/Paris,RQVNWK7HDHFKLF42
IL,Asia/Jerusalem,5H6RUVZFZ5V9IXVJ
JP,Asia/Tokyo,8HOFMACHENPDT0YH
FR,Europe/Paris,ZPFJO87MFQRUXLZ8
IL,Asia/Jerusalem,TSNCXVGNECS24HUK
IL,Asia/Jerusalem,LS3IV5NZ2TA2RKXS
RU,Europe/Moscow,6AL2MDNKUSWQ3IUE
DK,Europe/Copenhagen,9OFBI8WR4KKKI2GW
IL,Asia/Jerusalem,CF01H6H0CAE58IHO
IL,Asia/Jerusalem,MYPUJ96LZIQWQDZO
AT,Europe/Vienna,SWQI1RJDARK965U5
IL,Asia/Jerusalem,084OZMRE7S1Y8ZR8
IL,Asia/Jerusalem,1STATBEP4LNPKMBS
IL,Asia/Jerusalem,7K136AYOQ81R83LU
IL,Asia/Jerusalem,5OMS1MS4YJ354QVA
CN,Asia/Shanghai,FW5Q4H1S2958OOTQ
DE,Europe/Berlin,M6FL8G3A26P7CF8N
DE,Europe/Berlin,CFW2NJ60IE7WHSFL
IL,Asia/Jerusalem,2YQH9RWLS3I8E1TH
IL,Asia/Jerusalem,7SIVBDX92F2UCPIN
NL,Europe/Amsterdam,7ZRUSF3SCTQU7EGZ
BE,Europe/Brussels,WEZ2ML4TH8GJHHTB
IL,Asia/Jerusalem,SM3FHWC9ST47LCS8
IL,Asia/Jerusalem,DZV4EQXRVASDJDH3
MY,Asia/Kuala_Lumpur,6ATT2HNJNL4T1YA0
IL,Asia/Jerusalem,IO76T3FXU4ZJDE2Q
DE,Europe/Berlin,PBL6NP8PFGBMDGH7
US,America/New_York,1T85DQDPD4E2WHA2
FR,Europe/Paris,T7NJM101DNG7WE7M
CN,Asia/Shanghai,WEVKSLATW51N11BQ
CN,Asia/Shanghai,5GUAONRKVRXY7KX2
IL,Asia/Jerusalem,TIZUS6U5ZJEYOOVF
CN,Asia/Shanghai,RTE15OKXRQ3EUPPH
ES,Europe/Madrid,NUKXELV0525DPMP2
IL,Asia/Jerusalem,JMSR00VLJADPIVQQ
IL,Asia/Jerusalem,G900OE8BG313N37K
LU,Europe/Luxembourg,SALY8TBKFXDF123C
IL,Asia/Jerusalem,DU5H85G0G9X1CBBD
US,America/New_York,5OVRXL14MBIZKF1Q
IL,Asia/Jerusalem,1S950XPRIIIGF1Y5
IL,Asia/Jerusalem,2X1BS92YSPRRVQLS
US,America/New_York,3DS3AHWI6YRVNFIG
IL,Asia/Jerusalem,ER894CTKOYLSM0WS
RU,Europe/Moscow,GI423MZP92F38OVC
IL,Asia/Jerusalem,MM523ZCEGXX3ILO5
IL,Asia/Jerusalem,DNG48I1KFEH4JIZR
IL,Asia/Jerusalem,M8UDS2JNCF5PLFGQ
IT,Europe/Rome,HLE8EIX2X0B53EDS
IL,Asia/Jerusalem,C657LJX6KDQZF0FM
IL,Asia/Jerusalem,K5OFZBNRHDVF9482
FR,Europe/Paris,U5GA36JSKYDXLGWW
CN,Asia/Shanghai,P4DL4DLTHNCDPMZ4
SG,Asia/Singapore,SS6MX7M3H1IBM8QY
IL,Asia/Jerusalem,D6FE2U3VYLBRE3DV
IL,Asia/Jerusalem,8ZX830NATSKF2CDD
IL,Asia/Jerusalem,SJX29BYSQRNVPN60
IL,Asia/Jerusalem,NRL0AGJH8YPX9L4U
DE,Europe/Berlin,OWR2XAXH0M16X7SH
IL,Asia/Jerusalem,JGFUB64ZE0M190D2
TW,Asia/Taipei,3ITB2K9HZNBUCIUX
IL,Asia/Jerusalem,VUKIX5XZSFXIGG6F
FR,Europe/Paris,GKJCCF6WZWEH1S3J
IL,Asia/Jerusalem,ASVVG8ZN46KS15DE
CN,Asia/Shanghai,FNFJKN91GK14PRDO
IL,Asia/Jerusalem,WHIP0Y36S9Q0PF7U
IL,Asia/Jerusalem,29KHY4DXUYWSJ3GR
IL,Asia/Jerusalem,F54LF2K47E5JMHX3
IL,Asia/Jerusalem,S84SSJ3B399N99KS
IL,Asia/Jerusalem,11SR0CUNPYTA9DJB
IL,Asia/Jerusalem,Z2DRFCH4F1P7PBSM
IL,Asia/Jerusalem,L7UWXAEKUYZ6AZ9S
CN,Asia/Shanghai,TEUBJOLAD8K1QBI9
IL,Asia/Jerusalem,UGOJ66859ZFFX8UG
AT,Europe/Vienna,894IHC1D9BUCIR8O
CN,Asia/Shanghai,STNZKU790HERHABT
IL,Asia/Jerusalem,BOTH4YDNP5O6E5FT
IL,Asia/Jerusalem,553CGZE9DTIGA078
IL,Asia/Jerusalem,MKW02UMLBE4R8J86
DE,Europe/Berlin,TY7PT8NKHWJ3UHUU
IL,Asia/Jerusalem,A65OBM4OZ6DMEBVC
IL,Asia/Jerusalem,X9ZJBKP3CT0FSDRM
IL,Asia/Jerusalem,DJCO5O1SD1ZAGHWP
RU,Europe/Moscow,VSKYRT1DPM0JZZJV
CA,America/Toronto,U7KJQMJ9ANZ2JI93
IL,Asia/Jerusalem,CZYMAN9DCQOQ9Y7F
IL,Asia/Jerusalem,V2IQFQ3QZWDQ7F80
IL,Asia/Jerusalem,2WXTC080WLOUKOVX
IL,Asia/Jerusalem,4F9PSHI8S0583CK5
IL,Asia/Jerusalem,VYI65892Q1WXQVMT
IL,Asia/Jerusalem,ZTDLQZ0SE9EZRTNC
MX,America/Monterrey,589ICJWLKRZX0LZ4
IL,Asia/Jerusalem,3PDIZPC6FQQDCH7V
IL,Asia/Jerusalem,6ABN2V4V2HBEAEG2
IL,Asia/Jerusalem,2FUQQWR8GTLZRDYI
IL,Asia/Jerusalem,LSCRLZ60RJSZACY7
IL,Asia/Jerusalem,1M5HCTQRCNN8Q2A3
IL,Asia/Jerusalem,ZOQD33Y0DGIM8OF9
IL,Asia/Jerusalem,NH0DGWJ3KYBC7YAD
IL,Asia/Jerusalem,9K6XNBG0WJ6464T6
IL,Asia/Jerusalem,SBHN2M24YP1TD1VM
PL,Europe/Warsaw,EEKZAZ7U18KSQKWW
IL,Asia/Jerusalem,0YWAFGIHAGHNM9NV
CA,America/Toronto,ZRFHU0E54QU01PCX
IL,Asia/Jerusalem,4U0JPGTXQRZ2OSDW
AT,Europe/Vienna,1IPT10SGWAQYGYVF
IL,Asia/Jerusalem,ZULRU73A97SMYVDX
IL,Asia/Jerusalem,OE9DYPACWZ0I6ZCG
IL,Asia/Jerusalem,BYQY1VO9P1BW4611
CN,Asia/Shanghai,VNV7LC8VDM1F3O8H
IL,Asia/Jerusalem,JX86X47BWBNL4W6C
IL,Asia/Jerusalem,XQW3AEQTG3CQDH80
IL,Asia/Jerusalem,KOY22H2DS1L8VAVC
CN,Asia/Shanghai,3RW6TUX2PF64LQM1
IL,Asia/Jerusalem,RGE768577U1YKD98
MY,Asia/Kuala_Lumpur,DZAPV386Y3LKCBJ8
IL,Asia/Jerusalem,LWFV4ZTK2VXCYVC1
IL,Asia/Jerusalem,ZSUW8AL90CH1WX6Y
IL,Asia/Jerusalem,W8PWEQQPOXHM2Y2F
IL,Asia/Jerusalem,6N9BPEWNGK27SBMF
IL,Asia/Jerusalem,WS3PN512IXGDZVJO
IL,Asia/Jerusalem,56KH60E6SNPA0STG
IL,Asia/Jerusalem,AL7TPHFJPSHE8Z3J
US,America/New_York,RZ4OV7KR7M5WOHJ3
IL,Asia/Jerusalem,O4WWYJ8LUCLOAE04
IL,Asia/Jerusalem,PN7M8HVJU24IQ72V
JP,Asia/Tokyo,157OMA0KK9FYG09M
IL,Asia/Jerusalem,530UI0L09G81R1ZI
SG,Asia/Singapore,EI6X20CRILVE5NVR
PL,Europe/Warsaw,CB4V82JDH4KG3QN3
IL,Asia/Jerusalem,5KYKRZEEK396SCQJ
NL,Europe/Amsterdam,JPB33DFNIVSEZHF8
IL,Asia/Jerusalem,E12CQUL0FL7IK0B8
IL,Asia/Jerusalem,VAJAS98G2REOD9MR
IL,Asia/Jerusalem,BORG8RVPERTFNC6Y
IL,Asia/Jerusalem,IYQUIL0W6MGB6CIZ
IL,Asia/Jerusalem,BJWU9YN5KIVXUJDI
AT,Europe/Vienna,D4HWEM325ZJCUAWW
IL,Asia/Jerusalem,GMCL7C8VKSIKOLS9
IL,Asia/Jerusalem,MCEPCH9HELY84TYU
IL,Asia/Jerusalem,5Q93PZJX79H8ND6Z
IL,Asia/Jerusalem,FAF0QD9WXYIADAI9
IL,Asia/Jerusalem,3M16UWEV7IR2TJ4Y
BR,Asia/Jerusalem,YFZE34HFR5O76HHQ
BE,Europe/Brussels,94ALVU8PHCZOQQ4I
IT,Europe/Rome,VQ9PB0RW5XRQ6QYL
IL,Asia/Jerusalem,FHK0XA8WHS4ZGSCD
IL,Asia/Jerusalem,C1GMKHXVGFFICROV
DE,Europe/Berlin,LTAHM65SFU7KKX8T
IL,Asia/Jerusalem,KXREHVPKSIJ49JHQ
IL,Asia/Jerusalem,YVSJMV5D7FHVL08Y
DE,Europe/Berlin,3SDHM5GZDK57R5X2
IL,Asia/Jerusalem,RMWU3HF584DG00C4
IL,Asia/Jerusalem,QJMGQ7S3G2UL05XK
IL,Asia/Jerusalem,X0TYARQCZ16K5MVY
PL,Europe/Warsaw,NO9WH1RA2A9UBKW0
AT,Europe/Vienna,MPUD6AA41J5NLB84
IL,Asia/Jerusalem,RUH5IFFYDZRQIDJY
IL,Asia/Jerusalem,4A9ZIW9EAW9ZKDX6
IL,Asia/Jerusalem,I7UWMJ1GAP8GV37T
IL,Asia/Jerusalem,A0CDSEQJAF995Y79
CA,America/Toronto,O7UG1GO5U981RIGJ
NO,Europe/Oslo,RWE42GDUNVRR6TFC
IL,Asia/Jerusalem,0O7V9O8DF3ULYUF1
CA,America/Vancouver,EXHL4EGIRUDVWRSR
IL,Asia/Jerusalem,0ESOIR2Q92P6B8YR
IL,Asia/Jerusalem,B8G76SFP45VXO2EG
IL,Asia/Jerusalem,FLDJP7YCJUY73RV6
IL,Asia/Jerusalem,MPMIZLZJBGCMH1YB
FR,Europe/Paris,Z3M1YWZ5PRZM0KMP
IL,Asia/Jerusalem,BC83K81XJKW1SAFR
FR,Europe/Paris,LGGDW384LKON7O82
CN,Asia/Shanghai,OF6X5DD0GMB136TW
AT,Europe/Vienna,DPGD7V0L45ZIQZGQ
IL,Asia/Jerusalem,BUA5QNH6LUUQY9YF
IL,Asia/Jerusalem,1LQ7WO712EHLSNVU
IL,Asia/Jerusalem,I1RIULZBB3ZL200Z
IL,Asia/Jerusalem,ODH1P3LJRHLIVUKC
FR,Europe/Paris,HAFMKGKUNLAWED9H
IL,Asia/Jerusalem,HU2NAGB7CP4D7ZON
DE,Europe/Berlin,1APDYM3E586AMOU7
AU,Australia/Melbourne,GN5ZERN3S8CGRHC7
IL,Asia/Jerusalem,RDB1PRQH15OV3RU4
IL,Asia/Jerusalem,1YBKOL0U6FNI25T7
IL,Asia/Jerusalem,X6XB82BMB0GEWDD2
IL,Asia/Jerusalem,YZC6JQORVYTMKJVD
PL,Europe/Warsaw,FL6Y7X81XK0XAL3P
IL,Asia/Jerusalem,N2X5QHDKCEPPA28R
IL,Asia/Jerusalem,TTZTP9S94TA9TAKI
IL,Asia/Jerusalem,OXUNETFGXD9SUBXO
CA,America/Toronto,K69C9CKI26ZNIV6H
IL,Asia/Jerusalem,DX2WS147B7GBVR6E
IL,Asia/Jerusalem,UFL9COGRY63BU3I3
IL,Asia/Jerusalem,DWD8INP1C3RR8QLV
CH,Europe/Zurich,G9D2IHWS0DNSKGJI
IL,Asia/Jerusalem,4TSBCRC83WNA4NRP
IL,Asia/Jerusalem,J6MP71PON0PC6G9B
IL,Asia/Jerusalem,7KY5KPFLY9TDE2H7
US,America/New_York,KFVUTMOE7Y4ZDLTC
IL,Asia/Jerusalem,0SPJVBBJIAU6B8MD
RU,Europe/Moscow,6ILD44X71EPSTII2
AT,Europe/Vienna,ABXK2RF46448CP0J
IL,Asia/Jerusalem,5FL7CTX1LQDSD3UC
IL,Asia/Jerusalem,VH9MNYG8ZNQKTHN7
IL,Asia/Jerusalem,UYZGBBYWQQO59BK6
IL,Asia/Jerusalem,F6E54Y7VACKQKE6C
IL,Asia/Jerusalem,T27AZ96DAHAPUFT2
IL,Asia/Jerusalem,DH5NACMOQN5Z07OR
NO,Europe/Oslo,E3MYWIJJVBZ16N0Q
IL,Asia/Jerusalem,ZOPPR72TM86BQD4R
CA,America/Edmonton,BU7LNBXIRCZF3X4Y
IT,Europe/Rome,4YD7CLLWBBEX1E0U
IL,Asia/Jerusalem,S1MZWKUM9YGAFOTQ
IL,Asia/Jerusalem,7L06DQN1R9LG093V
IL,Asia/Jerusalem,2NK6SFX125ZPYNM2
PL,Europe/Warsaw,QRGKRFNEEGOSFATS
IT,Europe/Rome,JK8T8WTUEU4QN2DD
IL,Asia/Jerusalem,YFOUIFGASN3YZBFQ
IL,Asia/Jerusalem,MU2M7H46J0QRVH41
IL,Asia/Jerusalem,R2G3INBOP1SM37SW
IL,Asia/Jerusalem,KUYFT9SFRQ2HQ8DO
DK,Europe/Copenhagen,GCOL8HKE77YPHEQA
IL,Asia/Jerusalem,KQXAIUZ2I9IPXGTE
RO,Europe/Bucharest,3VSLOMBJVH6G2STE
AT,Europe/Vienna,9T4YV6A6JFMNCT6H
IL,Asia/Jerusalem,IOVTHM5K6FA7A90G
IL,Asia/Jerusalem,6OLYJB464JL65HTC
IL,Asia/Jerusalem,2BBM3D75BP10N4UZ
CN,Asia/Shanghai,055OKLZ57ISX6PAY
IL,Asia/Jerusalem,T4F8H4JGLH9IW3CW
IL,Asia/Jerusalem,SHG6ASFG8INPXO54
NO,Europe/Oslo,HDNA98HR4INN8KUK
CZ,Europe/Prague,MIHCZG516IUUM4ON
IL,Asia/Jerusalem,6UYQ7ZIPJI4ER9RJ
IL,Asia/Jerusalem,KVOUK9ARD72AD9QD
LU,Europe/Luxembourg,KBAH53OD4X3RA02M
IL,Asia/Jerusalem,WVXA3PABYRJNA9OX
PL,Europe/Warsaw,1XGJXSMAPD42N7GL
JP,Asia/Tokyo,1VLRZDQJ1YG3ZXUI
US,America/New_York,WM1ZDV4J9QR7NP7V
IL,Asia/Jerusalem,JXF1P0GM7725AJ6R
